31	Noah's Ark 🚢  | Bible Story for Kids | Bible Story Garden	Noah's Ark — God tells Noah to build a huge ark and save two of every animal from a great flood that covers the whole earth	🎬 Ready to Create			🚢 Noah's Ark — How one faithful man saved every kind of animal from a flood that covered the whole earth! Bible Stories for Kids by Bible Story Garden — faith-filled shorts that bring Scripture to life. #BibleStories #NoahsArk #BibleForKids #KidsFaith #YouTubeShorts #ChristianKids #SundaySchool #FaithForKids — Tags: Noah, Noahs Ark, Bible, Bible Stories, Kids, Faith, God, Christian, Children, YouTube Shorts, Bible for Kids, flood, ark, Genesis
32	Joseph's Coat of Many Colors 🎨  | Bible Story for Kids | Bible Story Garden	Joseph's Coat of Many Colors — Joseph's brothers are jealous of his special colorful coat and sell him into slavery, but God uses Joseph to save his whole family from famine	🎬 Ready to Create			🎨 Joseph's Coat of Many Colors — Sold into slavery by his own brothers, Joseph rises to rule Egypt and saves his family from starvation! Bible Stories for Kids by Bible Story Garden — faith-filled shorts that bring Scripture to life. #BibleStories #Joseph #BibleForKids #KidsFaith #YouTubeShorts #ChristianKids #SundaySchool #FaithForKids — Tags: Joseph, Coat of Many Colors, Bible, Bible Stories, Kids, Faith, God, Christian, Children, YouTube Shorts, Bible for Kids, Genesis, Egypt, brothers
33	Moses Parts the Red Sea 🌊  | Bible Story for Kids | Bible Story Garden	Moses Parts the Red Sea — God's people are trapped between Pharaoh's army and the sea, until Moses raises his staff and God parts the waters so they walk across on dry ground	🎬 Ready to Create			🌊 Moses Parts the Red Sea — Trapped between Pharaoh's army and the sea, God's people walk across on dry ground in the most amazing miracle ever! Bible Stories for Kids by Bible Story Garden — faith-filled shorts that bring Scripture to life. #BibleStories #Moses #RedSea #BibleForKids #KidsFaith #YouTubeShorts #ChristianKids #SundaySchool — Tags: Moses, Red Sea, Bible, Bible Stories, Kids, Faith, God, Christian, Children, YouTube Shorts, Bible for Kids, Exodus, Pharaoh, Egypt, miracle
34	David and Goliath 🪨  | Bible Story for Kids | Bible Story Garden	David and Goliath — A young shepherd boy faces a giant warrior twice his size with only a sling and five smooth stones, and defeats him with one perfect shot	🎬 Ready to Create			🪨 David and Goliath — A small shepherd boy with five smooth stones takes down the giant nobody else dared to fight! Bible Stories for Kids by Bible Story Garden — faith-filled shorts that bring Scripture to life. #BibleStories #DavidAndGoliath #BibleForKids #KidsFaith #YouTubeShorts #ChristianKids #SundaySchool #FaithForKids — Tags: David, Goliath, Bible, Bible Stories, Kids, Faith, God, Christian, Children, YouTube Shorts, Bible for Kids, sling, giant, shepherd, courage
35	Daniel in the Lion's Den 🦁  | Bible Story for Kids | Bible Story Garden	Daniel in the Lion's Den — Daniel keeps praying to God even when the king's law forbids it, so he is thrown to hungry lions, but God shuts the lions' mouths and saves him	🎬 Ready to Create			🦁 Daniel in the Lion's Den — Thrown to hungry lions for praying, Daniel walks out alive because God shut the lions' mouths! Bible Stories for Kids by Bible Story Garden — faith-filled shorts that bring Scripture to life. #BibleStories #Daniel #LionsDen #BibleForKids #KidsFaith #YouTubeShorts #ChristianKids #SundaySchool — Tags: Daniel, Lions Den, Bible, Bible Stories, Kids, Faith, God, Christian, Children, YouTube Shorts, Bible for Kids, prayer, courage, miracle
36	Joshua and the Walls of Jericho 🎺  | Bible Story for Kids | Bible Story Garden	Joshua and the Walls of Jericho — God tells Joshua to march around the great walls of Jericho for seven days and on the last day blow trumpets and shout, and the walls come crashing down	🎬 Ready to Create			🎺 Joshua and the Walls of Jericho — Marching around walls for seven days, then a single shout brings the mighty city tumbling down! Bible Stories for Kids by Bible Story Garden — faith-filled shorts that bring Scripture to life. #BibleStories #Joshua #Jericho #BibleForKids #KidsFaith #YouTubeShorts #ChristianKids #SundaySchool — Tags: Joshua, Jericho, Bible, Bible Stories, Kids, Faith, God, Christian, Children, YouTube Shorts, Bible for Kids, walls, trumpets, miracle
37	Samson's Incredible Strength 💪  | Bible Story for Kids | Bible Story Garden	Samson's Strength — God gives Samson incredible strength as long as he never cuts his hair, and even after he is betrayed and blinded his strength returns one last time to defeat his enemies	🎬 Ready to Create			💪 Samson's Incredible Strength — Betrayed and blinded, Samson's strength returns one final time for the most powerful comeback in the Bible! Bible Stories for Kids by Bible Story Garden — faith-filled shorts that bring Scripture to life. #BibleStories #Samson #BibleForKids #KidsFaith #YouTubeShorts #ChristianKids #SundaySchool #FaithForKids — Tags: Samson, Bible, Bible Stories, Kids, Faith, God, Christian, Children, YouTube Shorts, Bible for Kids, Delilah, strength, Judges
38	The Good Samaritan ❤️  | Bible Story for Kids | Bible Story Garden	The Good Samaritan — A man is beaten and left for dead on the road, two religious people walk past him, but a stranger from the wrong country stops and saves him	🎬 Ready to Create			❤️ The Good Samaritan — A stranger from the wrong country stops to save a beaten man that everyone else walked past. Jesus's most powerful lesson on love! Bible Stories for Kids by Bible Story Garden — faith-filled shorts that bring Scripture to life. #BibleStories #GoodSamaritan #BibleForKids #KidsFaith #YouTubeShorts #ChristianKids #SundaySchool — Tags: Good Samaritan, Bible, Bible Stories, Kids, Faith, Jesus, God, Christian, Children, YouTube Shorts, Bible for Kids, parable, kindness, love
39	The Prodigal Son 🤗  | Bible Story for Kids | Bible Story Garden	The Prodigal Son — A son takes his inheritance and wastes it all in a far country, then returns home in shame, but his father runs to meet him with a hug and throws a celebration feast	🎬 Ready to Create			🤗 The Prodigal Son — He wasted everything and came home in shame, but his father ran to meet him with the biggest celebration ever! Bible Stories for Kids by Bible Story Garden — faith-filled shorts that bring Scripture to life. #BibleStories #ProdigalSon #BibleForKids #KidsFaith #YouTubeShorts #ChristianKids #SundaySchool — Tags: Prodigal Son, Bible, Bible Stories, Kids, Faith, Jesus, God, Christian, Children, YouTube Shorts, Bible for Kids, parable, forgiveness, father
40	Jesus Feeds 5,000 🍞  | Bible Story for Kids | Bible Story Garden	Jesus Feeds 5000 — A huge crowd is hungry and a small boy gives his lunch of five loaves and two fish, Jesus blesses it and feeds five thousand people with food left over	🎬 Ready to Create			🍞 Jesus Feeds 5,000 — A boy's small lunch of bread and fish becomes a feast for thousands in Jesus's most amazing food miracle! Bible Stories for Kids by Bible Story Garden — faith-filled shorts that bring Scripture to life. #BibleStories #JesusMiracles #BibleForKids #KidsFaith #YouTubeShorts #ChristianKids #SundaySchool — Tags: Jesus, Feed 5000, Bible, Bible Stories, Kids, Faith, God, Christian, Children, YouTube Shorts, Bible for Kids, miracle, loaves, fish
